Date(UTC),Latitude,Longitude,Depth,Magnitude
05-07-2001 00:00,39.5,26,35,5.6
06-07-2001 00:00,41.02,39.55,10,4.9
07-07-2001 00:00,37.39,44.79,10,4.8
08-07-2001 00:00,39.7,44,15,5.3
09-07-2001 00:00,41,43.7,10,4.7
10-07-2001 00:00,36.22,44.73,80,5.1
11-07-2001 00:00,35.88,28.65,10,4.7
12-07-2001 00:00,40.9,30.6,10,4.5
13-07-2001 00:00,36.71,27.33,60,5
14-07-2001 00:00,36.9,34.73,60,5.2
15-07-2001 00:00,38.01,38.24,10,4.6
16-07-2001 00:00,41.5,31.5,10,4.4
17-07-2001 00:00,36.77,27.29,30,6.4
18-07-2001 00:00,41.26,31.09,10,4.7
19-07-2001 00:00,36.35,26.8,10,4.9
20-07-2001 00:00,39.3,33.2,10,4.7
21-07-2001 00:00,41.22,34.02,10,4.6
22-07-2001 00:00,38.19,29.79,40,5.7
23-07-2001 00:00,37.36,28.82,10,4.5
24-07-2001 00:00,37,35.5,10,5
25-07-2001 00:00,41.21,33.64,10,4.8
26-07-2001 00:00,38.5,45,35,5.6
27-07-2001 00:00,40.31,36.56,10,4.5
28-07-2001 00:00,37.86,31.13,50,5.3
29-07-2001 00:00,39.5,26,10,4.3
30-07-2001 00:00,41,41.6,10,4.7
31-07-2001 00:00,38.54,41,50,5.9
01-08-2001 00:00,40.25,27.5,35,6.2
02-08-2001 00:00,40.5,27.5,5,4.6
03-08-2001 00:00,40.5,27.5,5,4.5
04-08-2001 00:00,40.25,27.5,35,6
05-08-2001 00:00,41.1,43.9,30,5
06-08-2001 00:00,41.5,34.5,30,4.6
07-08-2001 00:00,36.08,27.3,83,6.1
08-08-2001 00:00,39.5,43,35,6
09-08-2001 00:00,40.6,33.6,30,4.8
10-08-2001 00:00,39.6,43.1,10,5
11-08-2001 00:00,39.35,40.52,40,5
12-08-2001 00:00,39.2,40.6,10,4.6
